Survey,Tow,Date,Animal,Orientation,Taxa,Length,Calibration_mm,Body,Body_m,Height_scaled,Height_m,Y_low,Y_high,Midsection
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0,0,0,0,0,0,0
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0025,0.0001,0.00513452264325814,0.0001,-0.000101494201881861,1.08260482007321e-05,-3.0531762834757e-06
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.005,0.0001,0.0102690452865163,0.0002,-0.000202988403763723,2.16520964014642e-05,-6.10635256695261e-06
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0075,0.0002,0.0154035679297743,0.0003,-0.000304482605645583,3.24781446021951e-05,-9.15952885042953e-06
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.01,0.0002,0.0205380905730325,0.0004,-0.000405976807527444,4.33041928029272e-05,-1.22127051339064e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0125,0.0003,0.0252038005405386,0.0006,-0.000497215497720893,5.41302410036581e-05,-1.52658814173846e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.015,0.0003,0.0264940592426309,0.0006,-0.000514614503757783,6.49562892043902e-05,-1.83190577008615e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0175,0.0004,0.0277843179447234,0.0006,-0.000532013509794673,7.57823374051223e-05,-2.13722339843372e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.02,0.0004,0.0290745766468158,0.0006,-0.000549412515831564,8.66083856058545e-05,-2.44254102678141e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0225,0.0005,0.0303648353489082,0.0007,-0.000566811521868455,9.74344338065853e-05,-2.7478586551291e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.025,0.0005,0.0316550940510005,0.0007,-0.000584210527905346,0.000108260482007316,-3.05317628347691e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0275,0.0006,0.032945352753093,0.0007,-0.000601609533942237,0.00011908653020805,-3.35849391182461e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.03,0.0007,0.0342356114551853,0.0007,-0.000619008539979126,0.00012991257840878,-3.6638115401723e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0325,0.0007,0.0350998792983455,0.0008,-0.000636407546016017,0.00013141986357494,-3.96912916851999e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.035,0.0008,0.0358781203148746,0.0008,-0.000654183766275929,0.00013066805467211,-4.27444679686768e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0375,0.0008,0.0366685756080135,0.0008,-0.000672227179943816,0.000129916245769283,-4.57976442521549e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.04,0.0009,0.0374590309011522,0.0008,-0.000690270593611701,0.000129164436866454,-4.88508205356306e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0425,0.0009,0.038249486194291,0.0008,-0.000708314007279588,0.000128412627963624,-5.19039968191076e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.045,0.001,0.0390399414874299,0.0009,-0.000726357420947475,0.000127660819060798,-5.49571731025845e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0475,0.001,0.0398303967805687,0.0009,-0.00074440083461536,0.000126909010157969,-5.80103493860626e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.05,0.0011,0.0406208520737074,0.0009,-0.000762444248283247,0.000126157201255139,-6.10635256695383e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0525,0.0011,0.0414113073668462,0.0009,-0.000780487661951133,0.00012540539235231,-6.41167019530164e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.055,0.0012,0.042201762659985,0.0009,-0.00079853107561902,0.000124653583449482,-6.71698782364921e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0575,0.0013,0.0429922179531238,0.0009,-0.000816574489286907,0.000123901774546653,-7.0223054519969e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.06,0.0013,0.0437826732462626,0.001,-0.000834617902954791,0.000123149965643826,-7.32762308034459e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0625,0.0014,0.0442091582224736,0.001,-0.000844699283954725,0.000122398156740997,-7.63294070869229e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.065,0.0014,0.0444027021958509,0.001,-0.000849684964047168,0.000121646347838168,-7.9382583370401e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0675,0.0015,0.0445962461692281,0.001,-0.000854670644139609,0.000120894538935339,-8.24357596538779e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.07,0.0015,0.0447897901426053,0.001,-0.000859656324232051,0.000120142730032512,-8.54889359373536e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0725,0.0016,0.0449833341159826,0.001,-0.000864642004324494,0.000119390921129683,-8.85421122208305e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.075,0.0016,0.0451768780893598,0.001,-0.000869627684416935,0.000118639112226854,-9.15952885043074e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0775,0.0017,0.045370422062737,0.001,-0.000874613364509378,0.000117887303324026,-9.46484647877856e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.08,0.0018,0.0455639660361143,0.001,-0.000879599044601822,0.000117135494421197,-9.77016410712613e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0825,0.0018,0.0457575100094915,0.001,-0.000884584724694263,0.000116383685518368,-0.000100754817354739
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.085,0.0019,0.0459510539828688,0.001,-0.000889570404786706,0.000115631876615541,-0.000103807993638215
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0875,0.0019,0.0464115756984143,0.001,-0.000894556084879148,0.000120720339311513,-0.000106861169921693
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.09,0.002,0.0469178650269029,0.001,-0.000899541764971589,0.000126809991424426,-0.00010991434620517
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0925,0.002,0.0474241543553917,0.001,-0.000904527445064033,0.000132899643537337,-0.000112967522488647
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.095,0.0021,0.0479304436838803,0.001,-0.000909513125156475,0.000138989295650249,-0.000116020698772124
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.0975,0.0021,0.048436733012369,0.0011,-0.000914498805248917,0.000145078947763161,-0.000119073875055601
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1,0.0022,0.0489430223408576,0.0011,-0.000919484485341359,0.000151168599876071,-0.000122127051339077
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1025,0.0022,0.0494493116693463,0.0011,-0.000924470165433802,0.000157258251988983,-0.000125180227622555
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.105,0.0023,0.049955600997835,0.0011,-0.000929455845526244,0.000163347904101894,-0.000128233403906033
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1075,0.0024,0.0504618903263237,0.0011,-0.000934441525618687,0.000169437556214807,-0.000131286580189509
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.11,0.0024,0.0509681796548123,0.0011,-0.000939427205711128,0.000175527208327719,-0.000134339756472985
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1125,0.0025,0.051474468983301,0.0011,-0.000944412885803571,0.000181616860440631,-0.000137392932756462
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.115,0.0025,0.0519807583117897,0.0011,-0.000949398565896014,0.000187706512553541,-0.000140446109039938
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1175,0.0026,0.0524870476402784,0.0011,-0.000954384245988456,0.000193796164666454,-0.000143499285323416
